title,type,country,release_year,rating
3%,1,39,1.1431409721241794,9
1920,0,229,-2.4847549496237082,9
3 Heroines,0,249,-0.0661576684584498,10
Blue Mountain State: The Rise of Thadland,0,549,-0.0661576684584498,6
Blue Planet II,1,462,0.23616699168720753,8
Blue Ruin,0,586,-0.9731316488954218,6
Blue Valentine,0,549,-1.8801056293323937,6
Blurred Lines: Inside the Art World,0,51,0.23616699168720753,9
BNA,1,291,1.1431409721241794,7
BNK48: Girls Don't Cry,0,444,0.5384916518328648,7
Bo Burnham: Make Happy,0,549,-0.0661576684584498,9
3 Idiots,0,229,-2.182430289478051,5
Bo Burnham: what.,0,549,-0.9731316488954218,9
Bo on the Go!,1,51,-2.7870796097693655,11
Bob Lazar: Area 51 & Flying Saucers,0,549,0.5384916518328648,9
Bob's Broken Sleigh,0,51,-0.3684823286041071,8
Bobbi Jene,0,132,0.23616699168720753,9
Bobbleheads The Movie,0,549,1.1431409721241794,4
Bobby Jasoos,0,229,-0.6708069887497644,7
Bobby Kennedy for President,1,669,0.5384916518328648,9
3 Seconds Divorce,0,51,0.5384916518328648,10
Bobby Robson: More Than a Manager,0,462,0.5384916518328648,7
Bobby Sands: 66 Days,0,264,-0.0661576684584498,7
Boca Juniors Confidential,1,669,0.5384916518328648,10
Bodyguard,0,229,-1.5777809691867364,7
Bogda,0,229,0.5384916518328648,10
Boi,0,403,0.5384916518328648,9
BoJack Horseman,1,549,1.1431409721241794,9
BoJack Horseman Christmas Special: Sabrina's Christmas Wish,0,549,-0.6708069887497644,9
Bokeh,0,610,0.23616699168720753,7
Bolívar,1,109,0.8408163119785221,9
3 Türken & ein Baby,0,193,-0.3684823286041071,9
Bolt,0,549,-2.4847549496237082,4
Bomb Scared,0,403,0.23616699168720753,9
Bombairiya,0,459,0.5384916518328648,9
Bombay Talkies,0,229,-0.9731316488954218,9
Bombshell,0,326,-0.0661576684584498,9
Bombshell: The Hedy Lamarr Story,0,549,0.23616699168720753,7
Bon Bini Holland,0,317,-0.3684823286041071,9
Bon Cop Bad Cop 2,0,51,0.23616699168720753,9
"Bon Cop, Bad Cop",0,51,-3.089404269915023,9
30 Days of Luxury,0,137,-0.0661576684584498,7
Bondi Rescue,1,12,-0.0661576684584498,10
BONDING,1,549,0.8408163119785221,9
Bonus Family,1,428,0.8408163119785221,9
Booba,1,367,0.8408163119785221,12
Bookmarks,1,549,1.1431409721241794,11
Border Patrol,1,669,-0.0661576684584498,10
Border Security: America's Front Line,1,51,0.5384916518328648,7
Borderline,1,462,0.23616699168720753,7
30 Minutes or Less,0,549,-1.5777809691867364,6
Borderliner,1,337,0.23616699168720753,9
Bordertown,1,142,0.8408163119785221,9
Borgen,1,121,-1.275456309041079,9
Borges,1,39,0.5384916518328648,9
Born Beautiful,0,350,0.8408163119785221,9
Born in Gaza,0,403,-0.6708069887497644,7
Born in Syria,0,131,-0.0661576684584498,7
Born Racer,0,326,0.5384916518328648,6
Born Strong,0,549,0.23616699168720753,9
Born to Be Free,0,525,-0.0661576684584498,7
Boss,0,229,-0.9731316488954218,7
Botched Up Bodies,1,462,-0.9731316488954218,9
Bottersnikes & Gumbles,1,654,0.23616699168720753,12
Bottom of the World,0,78,0.23616699168720753,9
Bountiful Blessings,1,379,-1.5777809691867364,7
Boushkash,0,137,-2.4847549496237082,9
Boy and the World,0,39,-0.9731316488954218,4
Boy Bye,0,549,-0.0661576684584498,9
Boy Missing,0,403,-0.0661576684584498,9
365 Days,0,355,1.1431409721241794,9
Boyka: Undisputed,0,47,-0.0661576684584498,6
Boys Over Flowers,1,394,-2.182430289478051,7
Brad Paisley's Comedy Rodeo,0,549,0.23616699168720753,9
Brahman Naman,0,245,-0.0661576684584498,9
Brain Games,1,549,-0.0661576684584498,8
Brain on Fire,0,571,-0.0661576684584498,5
Brainchild,1,669,0.5384916518328648,8
Brampton's Own,0,549,0.5384916518328648,9
Bratz: The Movie,0,549,-2.7870796097693655,4
Brave Blue World: Racing to Solve Our Water Crisis,0,75,1.1431409721241794,10
37 Seconds,0,291,1.1431409721241794,9
Brave Miss World,1,618,-0.9731316488954218,7
Brave New Jersey,0,549,-0.0661576684584498,9
Braven,0,51,0.5384916518328648,6
Braxton Family Values,1,549,-0.6708069887497644,10
Bread Barbershop,1,669,1.1431409721241794,11
Break,0,150,0.5384916518328648,9
BREAK IT ALL: The History of Rock in Latin America,1,669,1.1431409721241794,9
Break Ke Baad,0,229,-1.8801056293323937,7
Break Up 100,0,219,-0.6708069887497644,7
"Breakfast, Lunch & Dinner",1,549,0.8408163119785221,9
3Below: Tales of Arcadia,1,549,0.8408163119785221,12
Breaking Bad,1,549,-0.9731316488954218,9
Breaking Free,0,229,-0.3684823286041071,9
Breaking the Bank,0,462,-0.6708069887497644,10
Breakout,1,669,-1.8801056293323937,7
Breath,0,12,0.5384916518328648,9
Brené Brown: The Call to Courage,0,669,0.8408163119785221,7
Brews Brothers,1,549,1.1431409721241794,9
Brian Regan: Nunchucks and Flamethrowers,0,549,0.23616699168720753,10
Bride For Rent,0,350,-0.6708069887497644,10
1922,0,549,0.23616699168720753,9
40 Sticks,0,296,0.8408163119785221,7
Bridezilla,0,249,0.8408163119785221,9
Bridgerton,1,549,1.1431409721241794,9
Bridget Christie: Stand Up for Her,0,462,-0.0661576684584498,9
Bright,0,549,0.23616699168720753,9
Bright: The Music Videos,1,669,0.23616699168720753,9
Brij Mohan Amar Rahe,0,229,0.5384916518328648,9
"Bring It On, Ghost",1,394,-0.0661576684584498,7
Bring It On: Worldwide Showdown,0,549,0.23616699168720753,5
Bringing Sexy Back,1,669,-0.3684823286041071,7
Broadchurch,1,462,0.23616699168720753,9
42 Grams,0,549,0.23616699168720753,9
Broken,1,549,0.8408163119785221,7
Bromance,1,439,-0.3684823286041071,10
Brooklyn's Finest,0,549,-2.182430289478051,6
Brother,0,147,0.8408163119785221,9
Brother in Love,0,448,0.8408163119785221,9
Brother's Shadow,0,549,-3.089404269915023,9
Brotherhood,1,39,0.8408163119785221,9
